association	dataset	threshold value	standardized value
23132-87	COSMIC Cell Line Gene Mutation Profiles	1.0	null
GTEX-N7MT-0011-R10A-SM-2I3E1	GTEx Tissue Sample Gene Expression Profiles	1.0	0.913689
large	GeneRIF Biological Term Annotations	1.0	null
GTEX-WWYW-0011-R5A-SM-3NB3E	GTEx Tissue Sample Gene Expression Profiles	1.0	0.899385
Primary somatosensory area, unassigned, layer 2/3	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.98107
NCI-H345	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.25799
BRD-K52254237	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.02255
BRD-K39244640	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.06123
early endosome	GO Cellular Component Annotations 2023	1.0	null
Prostate adenocarcinoma_PRAD_TCGA-ZG-A8QW-01A-11R-A37L-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
early endosome membrane	GO Cellular Component Annotations 2015	1.0	null
H3K4me3_Penis Foreskin Fibroblast Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
TGBC11TKB	CCLE Cell Line Gene CNV Profiles	-1.0	-1.86931
GTEX-S95S-1326-SM-2XCDK	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
HEK293	BioGPS Cell Line Gene Expression Profiles	1.0	1.09478
membrane	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
r4 part of ventral lateral lemniscal nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.09498
ZR7530	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	1.0	0.92754
skill	GeneRIF Biological Term Annotations	1.0	null
NCI-H2023	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.886869
inferolateral temporal cortex (area TEv, area 20)_21 pcw_F_12365	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.66728
GTEX-WL46-0011-R1A-SM-3LK6M	GTEx Tissue Sample Gene Expression Profiles	1.0	0.910312
Kidney renal clear cell carcinoma_KIRC_TCGA-A3-3324-01A-02R-1325-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
hsa-miR-4745-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.0155
BRD-K23553911	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.58724
hippocampus (hippocampal formation)_21 pcw_M_12886	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.81808
Pancreatic adenocarcinoma_PAAD_TCGA-3A-A9IR-01A-11R-A38C-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
RBBP5_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
inner SZ in caudal midinferior temporal cortex (area TF)	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.01684
EGR1_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
NTERA2CLD1	DepMap CRISPR Gene Dependency	1.0	2.77082
superficial stratum of THyB-I	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-2.13023
CTCF_GM12874_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
HDGF_02_104	KnockTF Gene Expression Profiles with Transcription Factor Perturbations	1.0	2.80735
periventricular stratum of r10Lim	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.14394
EJM	CCLE Cell Line Gene CNV Profiles	1.0	1.54803
TE-4	COSMIC Cell Line Gene Mutation Profiles	1.0	null
Stress, Psychological	HuGE Navigator Gene-Phenotype Associations	1.0	null
FOS_MCF 10A_hg19_4	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SIPA1L3	Pathway Commons Protein-Protein Interactions	1.0	null
HEP G2	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.921058
primary somatosensory cortex (area S1, areas 3,1,2)_13 pcw_M_12820	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	0.894701
ATP5C1	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me1_T-cell acute lymphoblastic leukemia_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
gracile nucleus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.22579
BRD-K74933734	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.12822
posterior (caudal) superior temporal cortex (area 22c)_8 yrs_M_12841	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.02293
interactions	GeneRIF Biological Term Annotations	1.0	null
RFX5	ENCODE Transcription Factor Targets	1.0	null
TCF12/HEB-22897851-JUKARTE6-1-HUMAN	ChEA Transcription Factor Targets 2022	1.0	null
negative regulation of cell growth	GO Biological Process Annotations 2023	1.0	null
regulation of biological process	GO Biological Process Annotations 2015	1.0	null
NCI-H2172	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.56116
H3K27me3_erythroblast_mm9_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
ZR-75-30	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.910277
GTEX-U412-0226-SM-3NMC8	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
EGR1	ENCODE Transcription Factor Targets	1.0	null
CCK-81	COSMIC Cell Line Gene Mutation Profiles	1.0	null
amygdaloid complex_13 pcw_M_12888	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.01258
SAP30	ENCODE Transcription Factor Targets	1.0	null
cellular_component	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
H3K4me3_HeLa-S3_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
dyslexiaassociated	GeneRIF Biological Term Annotations	1.0	null
posteroventral (inferior) parietal cortex_16 pcw_M_12879	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	0.999108
globose nucleus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.65351
Cervical squamous cell carcinoma and endocervical adenocarcinoma_CESC_TCGA-VS-A8EH-01A-11R-A36F-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K55238630	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.14397
KNS-62	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-2.49019
18801183-SuppTable1	GeneSigDB Published Gene Signatures	1.0	null
H3K4me3_fibroblast of mammary gland_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
adult	GeneRIF Biological Term Annotations	1.0	null
A172	BioGPS Cell Line Gene Expression Profiles	-1.0	-1.84432
RUNX3	ENCODE Transcription Factor Targets	1.0	null
H3K4me3_astrocyte of the cerebellum_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-XQ3S-1126-SM-4BOPK	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
TPP1	Pathway Commons Protein-Protein Interactions	1.0	null
Sarcoma_SARC_TCGA-X6-A7WB-01A-11R-A355-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me3_keratinocyte_hg19_3	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me3_SK-N-SH_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
metabolic	GAD High Level Gene-Disease Associations	1.0	0.293278
Bladder Urothelial Carcinoma_BLCA_TCGA-C4-A0EZ-01A-21R-A24X-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
MAST4	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-PVOW-2526-SM-2XCF7	GTEx Tissue Sample Gene Expression Profiles	1.0	1.35324
Kidney renal clear cell carcinoma_KIRC_TCGA-B0-4811-01A-01R-1503-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K27ac_cortical plate_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
CPC-N	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	1.34022
NOMO2	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K37203945	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.18836
BRD-K74918080	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.46322
C99	DepMap CRISPR Gene Dependency	1.0	4.3861
intracellular organelle	GO Cellular Component Annotations 2015	1.0	null
CHD7_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
CTR9	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-REY6-0326-SM-2TF5A	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
CHD2_GM12878_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_CD4+ CD25- CD45RO+ Memory Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
musculoskeletal system disease	GWASdb SNP-Disease Associations	1.0	0.082536
BRD-K87537204	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.20542
GTEX-XXEK-1426-SM-4BRW1	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Brain Lower Grade Glioma_LGG_TCGA-FG-8181-01A-11R-2256-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-T2IS-3126-SM-32QPK	GTEx Tissue Sample Gene Expression Profiles	1.0	0.870357
BRD-K59851511	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.04539
GTEX-X585-3026-SM-46MWF	GTEx Tissue Sample Gene Expression Profiles	1.0	1.03422
dipyrocetyl	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.10838
inferolateral temporal cortex (area TEv, area 20)_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-0.949371
ZBTB7A_ECC-1_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
CBX3	ENCODE Transcription Factor Targets	1.0	null
ELMSAN1	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-A68797623	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-5.28431
NCI-H522	GDSC Cell Line Gene Expression Profiles	1.0	1.81406
TUHR14TKB	DepMap CRISPR Gene Dependency	1.0	3.70477
HCC4017	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-0.881948
telencephalon	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.928478
H2AFZ_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
mood disorder	GWASdb SNP-Disease Associations	1.0	0.27452
GTEX-QMR6-0011-R10A-SM-32PKO	GTEx Tissue Sample Gene Expression Profiles	1.0	1.69142
Fetal_Brain_Female	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	1.0	2.73154
TFAP2A	ENCODE Transcription Factor Targets	1.0	null
SLC16A7+ cell_Lung_Human	CellMarker Gene-Cell Type Associations	1.0	null
BRD-K02793474	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.0415
Brain Lower Grade Glioma_LGG_TCGA-HT-8107-01A-13R-2404-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
neocortex	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	1.00022
ADAMTS20	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K33787033	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.90495
mantle zone of InsCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.16219
hippocampus (hippocampal formation)_16 pcw_M_12287	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.01
NCI-H1793	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	2.4685
Anterodorsal preoptic nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.12561
Primary somatosensory area, mouth, layer 6a	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.03631
H3K4me1_Penis Foreskin Fibroblast Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
eGFP-JUND_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
inferolateral temporal cortex (area TEv, area 20)_24 pcw_M_12288	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.83068
Brain Lower Grade Glioma_LGG_TCGA-S9-A7IQ-01A-21R-A34F-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K33194123	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.48506
DACT1	Pathway Commons Protein-Protein Interactions	1.0	null
SG in midlateral temporal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-2.05246
Pheochromocytoma and Paraganglioma_PCPG_TCGA-WB-A81E-01A-11R-A35L-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K9ac_T-cell acute lymphoblastic leukemia_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
KDM5A_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-P44H-0011-R1A-SM-3NM8J	GTEx Tissue Sample Gene Expression Profiles	1.0	1.49469
TPH1	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K71109636	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.25981
Primary somatosensory area, upper limb, layer 4	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.48377
H3K4me3_WERI-Rb-1_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
intracellular membrane-bounded organelle	LOCATE Predicted Protein Localization Annotations	1.0	null
hsa-miR-4772-3p	TargetScan Predicted Conserved microRNA Targets	1.0	0.404082
GTEX-S32W-0626-SM-2XCBG	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
urogenital system	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.051429
USF2	ENCODE Transcription Factor Targets	1.0	null
GSK3B	Pathway Commons Protein-Protein Interactions	1.0	null
dorsolateral prefrontal cortex_4 yrs_M_12298	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-0.889726
BRD-K49552510	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.12889
NCI-H1573	GDSC Cell Line Gene Expression Profiles	1.0	1.58468
primary motor-sensory cortex (samples)_8 pcw_M_13058	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-0.966762
superficial stratum of r9Lim	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.04607
GTEX-WHSE-0011-R3A-SM-3P5ZM	GTEx Tissue Sample Gene Expression Profiles	1.0	0.893251
Folium-tuber vermis (VII), molecular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.16036
RELA_GM19099_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Head and Neck squamous cell carcinoma_HNSC_TCGA-H7-7774-01A-21R-2081-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me3_Adipose Nuclei	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
GTEX-U412-0326-SM-3DB9L	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-U8XE-0626-SM-3DB8U	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
GTEX-W5WG-2326-SM-3GIJH	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
MAZ_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K91962463	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.7709
positive regulation of SMAD protein signal transduction	GO Biological Process Annotations 2023	1.0	null
MDAMB415	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	1.0	2.40471
contained	GeneRIF Biological Term Annotations	1.0	null
H3K4me3_cardiac fibroblast_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
Schizophrenia	HuGE Navigator Gene-Phenotype Associations	1.0	null
CA4 field, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	0.997919
ELK4_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SNU-475	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	0.898816
Lung squamous cell carcinoma_LUSC_TCGA-46-3768-01A-01R-0980-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-XLM4-0011-R7A-SM-4AT5L	GTEx Tissue Sample Gene Expression Profiles	1.0	0.904792
CALU-6	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-1.16568
BRD-K67533212	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.23038
GTEX-PWO3-0011-R8A-SM-2I5GD	GTEx Tissue Sample Gene Expression Profiles	1.0	1.17388
ARFGAP1	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K32477623	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.47167
Primary motor area, Layer 2/3	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.29922
H3K27ac_Brain Hippocampus Middle	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
GTEX-NL4W-0011-R6a-SM-2I3GA	GTEx Tissue Sample Gene Expression Profiles	1.0	0.911405
diencephalon	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.095897
GTEX-WZTO-0011-R11A-SM-4E3K9	GTEx Tissue Sample Gene Expression Profiles	1.0	1.26147
GTEX-RNOR-2226-SM-2TF5O	GTEx Tissue Sample Gene Expression Profiles	1.0	0.927626
Esophagus	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	-1.0	-1.16765
H3K4me1_keratinocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GATA3_MCF-7_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
PDS5B	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-XUZC-0526-SM-4BOPF	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
JUND_MCF-7_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SNU1214	CCLE Cell Line Gene CNV Profiles	-1.0	-1.70342
GTEX-W5X1-0008-SM-4LMKA	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
phenotypic abnormality	GWASdb SNP-Phenotype Associations	1.0	1.00059
mineral metabolism disease	GWASdb SNP-Disease Associations	1.0	0.322818
coronary artery disease	GWASdb SNP-Phenotype Associations	1.0	1.09982
strong	GeneRIF Biological Term Annotations	1.0	null
intrinsic component of membrane	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.098109
H2AFZ_A549_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Agranular insular area, dorsal part, layer 6a	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.29649
Cervix - Endocervix	GTEx Tissue Gene Expression Profiles 2023	1.0	2.2671
Ventral cochlear nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.14291
different	GeneRIF Biological Term Annotations	1.0	null
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma_DLBC_TCGA-FF-8062-01A-11R-2213-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
KDM4A	ENCODE Transcription Factor Targets	1.0	null
Rigor - Temperature-Associated Observation	DisGeNET Gene-Phenotype Associations	1.0	null
PDHA2	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-OHPN-0226-SM-48TBV	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
dorsolateral prefrontal cortex_12 pcw_F_12835	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	0.836293
stratum pyramidale of caudal CA2	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	0.853089
CTCF_fibroblast of upper leg skin_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_iPS DF 6.9	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
Kidney renal papillary cell carcinoma_KIRP_TCGA-DW-5560-01A-01R-1592-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
generation of neurons	GO Biological Process Annotations 2023	1.0	null
Paraflocculus, molecular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.61112
intracellular part	COMPARTMENTS Curated Protein Localization Evidence Scores	1.0	0.663342
SK-GT-2	COSMIC Cell Line Gene Mutation Profiles	1.0	null
GTEX-RWS6-0001-SM-3NMAL	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
ACACB	Pathway Commons Protein-Protein Interactions	1.0	null
negative regulation of cellular process	GO Biological Process Annotations 2015	1.0	null
H3K4me3_kidney epithelial cell_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
ADNP	Pathway Commons Protein-Protein Interactions	1.0	null
Lobules IV-V, granular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.08821
globus pallidus, internal segment, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.22087
H3K4me3_fibroblast of gingiva_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
splicing	GeneRIF Biological Term Annotations	1.0	null
TBX5-21415370-HL-1-MOUSE	ChEA Transcription Factor Binding Site Profiles	1.0	null
hsa-miR-3925-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.965816
HCC12	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Mutation Profiles	1.0	null
extends	GeneRIF Biological Term Annotations	1.0	null
MCF10F	Heiser et al., PNAS, 2011 Cell Line Gene Expression Profiles	1.0	0.99049
Orbital area, medial part, layer 6a	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.42637
BRD-K57575504	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.49786
inner SZ in midlateral temporal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-0.93503
NRF1	ENCODE Transcription Factor Targets	1.0	null
BRD-K02301426	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.28712
Kidney renal clear cell carcinoma_KIRC_TCGA-CJ-4888-01A-01R-1305-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
TENM2	Pathway Commons Protein-Protein Interactions	1.0	null
skeletal muscle	HPA Tissue Gene Expression Profiles	-1.0	-1.44877
BRD-K65315551	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.31721
H3K4me2_keratinocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-U3ZN-0526-SM-4DXTH	GTEx Tissue Sample Gene Expression Profiles	-1.0	-0.913629
SW1573	CCLE Cell Line Gene CNV Profiles	-1.0	-1.39542
CALD1	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-QDT8-0011-R10A-SM-32PKG	GTEx Tissue Sample Gene Expression Profiles	1.0	1.81922
AN3-CA	COSMIC Cell Line Gene Mutation Profiles	1.0	null
H3K4me1_CD14-positive monocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
Brain Lower Grade Glioma_LGG_TCGA-HT-7610-01A-21R-2090-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me3_mammary epithelial cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-QV44-0008-SM-447AX	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
hsa-miR-4419b	TargetScan Predicted Conserved microRNA Targets	1.0	0.069137
Brain Lower Grade Glioma_LGG_TCGA-HT-7688-01A-11R-2256-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K41207293	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.55375
BRD-K15410616	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.36543
hippocampus (hippocampal formation)_16 pcw_M_12879	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	-1.0	-1.56133
BRD-K22487336	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	4.5357
BRD-K97485956	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.48079
CLEC11A	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K74900896	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.06656
H3K4me1_HeLa-S3_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
A549	Roadmap Epigenomics Cell and Tissue Gene Expression Profiles	1.0	1.13902
preoptic	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	1.0	1.01642
BRD-K25423830	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.01898
GTEX-UTHO-3026-SM-3GAFB	GTEx Tissue Sample Gene Expression Profiles	1.0	1.13723
BRD-K65432867	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.72374
singlenucleotide	GeneRIF Biological Term Annotations	1.0	null
GTEX-P44H-0011-R10A-SM-2XCEK	GTEx Tissue Sample Gene Expression Profiles	1.0	1.45468
RD	CCLE Cell Line Gene Expression Profiles	-1.0	-1.54485
KARPAS422	DepMap CRISPR Gene Dependency	1.0	3.4714
Brain Lower Grade Glioma_LGG_TCGA-HT-7874-01A-11R-2403-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
H3K4me3_CD14-positive monocyte_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
PGD	Pathway Commons Protein-Protein Interactions	1.0	null
rostral group of intralaminar nuclei, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.74311
PPA2	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K12749985	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.16914
BRD-K50240676	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.19189
hsa-miR-4725-3p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.99187
muscle tissue disease	GWASdb SNP-Disease Associations	1.0	0.246991
FAF2	Pathway Commons Protein-Protein Interactions	1.0	null
H3K4me2_H1 BMP4 Derived Mesendoderm Cultured Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
TAL1-22897851-JUKARTE6-1-HUMAN	ChEA Transcription Factor Targets 2022	1.0	null
H3K4me3_erythroblast_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me2_skeletal muscle myoblast_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
H2AFZ_T-cell acute lymphoblastic leukemia_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K49628278	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.27396
contributing	GeneRIF Biological Term Annotations	1.0	null
ZBTB7A_K562_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
